t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,eapf_consensus,0.094248,1.5,0
0.01,0,eapf_consensus,0.188496,1.5,0
0.02,0,eapf_consensus,0.282743,1.5,0
0.03,0,eapf_consensus,0.376991,1.5,0
0.04,0,eapf_consensus,0.471239,1.5,0
0.05,0,eapf_consensus,0.565487,1.5,0
0.06,0,eapf_consensus,0.659734,1.5,0
0.07,0,eapf_consensus,0.753982,1.5,0
0.08,0,eapf_consensus,0.84823,1.5,0
0.09,0,eapf_consensus,0.942478,1.5,0
0.1,0,eapf_consensus,1.036726,1.5,0
0.11,0,eapf_consensus,1.130973,1.5,0
0.12,0,eapf_consensus,1.225221,1.5,0
0.13,0,eapf_consensus,1.319469,1.5,0
0.14,0,eapf_consensus,1.413717,1.5,0
0.15,0,eapf_consensus,1.507964,1.5,0
0.16,0,eapf_consensus,1.602212,1.5,0
0.17,0,eapf_consensus,1.69646,1.5,0
0.18,0,eapf_consensus,1.790708,1.5,0
0.19,0,eapf_consensus,1.884956,1.5,0
0.2,0,eapf_consensus,1.979203,1.5,0
0.21,0,eapf_consensus,2.073451,1.5,0
0.22,0,eapf_consensus,2.167699,1.5,0
0.23,0,eapf_consensus,2.261947,1.5,0
0.24,0,eapf_consensus,2.356194,1.5,0
0.25,0,eapf_consensus,2.450442,1.5,0
0.26,0,eapf_consensus,2.54469,1.5,0
0.27,0,eapf_consensus,2.638938,1.5,0
0.28,0,eapf_consensus,2.733186,1.5,0
0.29,0,eapf_consensus,2.827433,1.5,0
0.3,0,eapf_consensus,2.921681,1.5,0
0.31,0,eapf_consensus,3.015929,1.5,0
0.32,0,eapf_consensus,3.110177,1.5,0
0.33,0,eapf_consensus,3.204425,1.5,0
0.34,0,eapf_consensus,3.298672,1.5,0
0.35,0,eapf_consensus,3.39292,1.5,0
0.36,0,eapf_consensus,3.487168,1.5,0
0.37,0,eapf_consensus,3.581416,1.5,0
0.38,0,eapf_consensus,3.675663,1.5,0
0.39,0,eapf_consensus,3.769911,1.5,0
0.4,0,eapf_consensus,3.864159,1.5,0
